Species,Group
Goniocorella Dumosa,Cnidaria
Amorphous cream Sponge,Porifera
Amorphous grey-blue sponge,Porifera
Amorphous Pink/Orange Sponge,Porifera
Anemone,Cnidaria
Axinella australiensis,Porifera
Axinella sp,Porifera
Black Coral_1,Cnidaria
Black Coral_2,Cnidaria
Black Hydroid,Cnidaria
Black Spiky Sponge,Porifera
Bright-Orange Encrusting Colonial Ascidian,Ascidiacea
Bright-Orange Encrusting sponge,Porifera
Brown Ball Sponge,Porifera
Brown/Grey Encrusting sponge,Porifera
Brown Orange Encrusting Sponge,Porifera
Brown Solitary Ascidian,Ascidiacea
Corynactis australis,Cnidaria
Creamy branching Hydroid,Cnidaria
Creamy Gorgonacea,Cnidaria
Cymbastella sp.,Porifera
Dark Brown encrusting Sponge,Porifera
Dark orange bulb sponge,Porifera
Dark Orange Encrusting Sponge,Porifera
Dark-Purple Encrusting Sponge,Porifera
Dark red branching sponge,Porifera
Dark Red Encrusting Sponge,Porifera
Dark-Yellow Encrusting Sponge,Porifera
Dendrilla sp.,Porifera
Desmacidon mamillatum,Porifera
Didemnum sp,Ascidiacea
Dysidea sp,Porifera
Ecionemia alata,Porifera
Encrusting Pink/Creamy sponge,Porifera
Encrusting White Colonial Bryozoan,Bryozoa
Erect Brown Branching Bryozoan,Bryozoa
Erect bushy green-white bryozoan,Bryozoa
Feather-like Hydroid,Cnidaria
Fine branching hydroid,Cnidaria
Flat creamy sponge,Porifera
Geodia regina,Porifera
Grey Amorphous Sponge,Porifera
Grey Encrusting Colonial Ascidian,Ascidiacea
Grey flask-like sponge,Porifera
Haliclona sp.,Porifera
Homaxinella erecta,Porifera
Hornera sp,Bryozoa
Iophon,Porifera
Iophon laevistylis,Porifera
Large Orange Encrusting Sponge,Porifera
Large white branching sponge,Porifera
Latrunculia sp.,Porifera
Light-Brown Encrusting Sponge,Porifera
Light Yellow Encrusting Sponge,Porifera
Lilac-Blue Spiky Sponge,Porifera
Lissoclinum sp,Ascidiacea
Massive yellow sponge,Porifera
Monomyces sp.,Cnidaria
Orange Encrusting Bryozoan,Bryozoa
Orange Encrusting Colonial Ascidian,Ascidiacea
Orange Massive/Encrusting Sponge,Porifera
Orange Octocoral,Cnidaria
Orange Spiked Sponge,Porifera
Orange thin-branching sponge,Porifera
Orange tube sponge,Porifera
Orange/White Amorphpus Sponge,Porifera
Orange/white Octocoral,Cnidaria
Orange/Yellow amorphous sponge,Porifera
Orange/Yellow Encrusting Sponge,Porifera
Pale-Orange Amorphous Sponge,Porifera
Pale Orange Encrusting Sponge,Porifera
Pale Orange Spiky Encrusting Sponge,Porifera
Pale yellow Amorphous/Encrusting Sponge,Porifera
Pale Yellow Branching Amorphous Sponge,Porifera
Pale Yellow Branching Sponge,Porifera
Pale-Yellow Encrusting Sponge,Porifera
Pale Yellow Globular Sponge,Porifera
Pale Yellow Octocoral,Cnidaria
Pale Yellow-Orange Amorphous Sponge,Porifera
Pararhaphoxya sp.,Porifera
Parazoanthus elongatus,Cnidaria
Pink/Orange Branching Bryozoan,Bryozoa
Polymastia sp.,Porifera
Primnoa sp.,Cnidaria
